province,district,constituency_name,pop,no_of_polling_stations,male,female,total,na_name,obtained_votes,candidate_name,party_affilation,party,year
Punjab,Lahore,Lahore-III,605588.49,286,176087,=127548+1935,305570,NA-119,107735,Muhammad Hamza Shehbaz Sharif,PMLN,PMLN,2013
Punjab,Faisalabad,Faisalabad-XI,599779.44,286,186862,145112,331974,NA-85,124696,Haji Muhammad Akram Ansari,PMLN,PMLN,2013
Punjab,Bahawalpur,Bahawalpur-II,569856.69,228,160472,=1957+129131,291600,NA-184,94429,Mian Najibuddin Awaisi,PMLN,PMLN,2013
Punjab,Lahore,Lahore-VII,547285.05,264,181421,=6284+134857,322562,NA-124,119312,Shaikh Rohale Asghar,PMLN,PMLN,2013
Punjab,Vehari,Vehari-III,608245.56,243,182938,138207,321145,NA-169,89673,Tahir Iqbal Ch,IND,IND,2013
Punjab,Gujranwala,Gujranwala-I,547103.7,204,183676,135063,318739,NA-95,108457,Usman Ibrahim,PMLN,PMLN,2013
Punjab,Sargodha,Sargodha-IV,620438.13,302,204369,161240,365609,NA-67,109132,Dr. Zulfiqar Ali Bhatti,PMLN,PMLN,2013
Punjab,Kasur,Kasur-III,547165.71,273,168330,123271,291601,NA-140,69212,Rasheed Ahmad Khan,PMLN,PMLN,2013
Punjab,Vehari,Vehari-IV,617916.78,236,179190.48,140792.52,319983,NA-170,83895,Saeed Ahmed Khan Manais,PMLN,PMLN,2013
Punjab,Rawalpindi,Rawalpindi-VII,535269.15,225,154449,133974,288423,NA-56,80577,Imran Khan,PTI,PTI,2013
Punjab,Jhang,Jhang-III,659949.03,264,156203,121773,277976,NA-88,87466,Ghulam Bibi Bharwana,PMLN,PMLN,2013
Punjab,Toba Tek Singh,Toba Tek Singh-III,654030,358,216914,168647,385561,NA-94,103581,Ch Asad Ur Rehman,PMLN,PMLN,2013
Punjab,Multan,Multan-IV,594163.44,272,193484,=86+168743,362313,NA-151,95714,Skindar Hayyat khan Bosan,PMLN,PMLN,2013
Punjab,Rawalpindi,Rawalpindi -II,632932.56,369,241455,211011,452466,NA-51,121296,Raja Muhammad Javed,PMLN,PMLN,2013
Punjab,Gujrat,Gujrat-II,591776.64,260,219629,174431,394060,NA-105,78171,Ch Pervaiz Ellahi,PML,PML-Q,2013
Punjab,Sheikhupura,Sheikhupura-I,601337.88,247,163832,110161,273993,NA-131,73742,Rana Afzaal Hussain,PMLN,PMLN,2013
Punjab,Pakpattan,Pakpattan-I,611723.97,219,141322,=113750+5739,260811,NA-164,67984,Sardar Mansab Ali Dogar,PMLN,PMLN,2013
Punjab,Lodhran,Lodhran-II,689314.86,309,202707,154288,356995,NA-155,85452,Abdul Rehman Khan Kanju,IND,IND,2013
Punjab,Chakwal,Chakwal-I,659165.13,397,253657,232413,486070,NA-60,130821,Major Rtd Tahir Iqbal,PMLN,PMLN,2013
Punjab,Dera Ghazi Khan,Dera Ghazi Khan-III,668686.59,248,201396,157370,358766,NA-173,82521,Sardar Awais Ahmad Khan Leghari,IND,IND,2013
Punjab,Faisalabad,Faisalabad-IX,601670.16,300,203406,164965,368371,NA-83,47107,Mian Abdul Manan,PMLN,,2013
Punjab,Khanewal,Khanewal-III,787954.05,244,=187337-8386,=144617,323568,NA-158,94050,Aslam Bodla,PMLN,PMLN,2013
Punjab,Nankana Sahib,Nanka Sahib-I (Old Sheikhupura-V),564065.19,231,167015,118274,285289,NA-135,82150,Muhammad Barjees Tahir,PMLN,PMLN,2013
Punjab,Lahore,Lahore-XI,527386.86,288,238632,=177724+2028,418384,NA-128,124107,Muhammad Afzal Khokhar,PMLN,PMLN,2013
Punjab,Gujranwala,Gujranwala-VII,595512.45,262,199806,152251,352057,NA-101,99924,Justice R Iftikhar Ahmad Cheema,PMLN,PMLN,2013
Punjab,Sargodha,Sargodha-II,598251.42,276,186523,136818,323341,NA-65,102871,Mohsin Shah Nawaz Ranjha,PMLN,PMLN,2013
Punjab,Muzaffargarh,Muzaffargarh-IV,637873.47,279,183233,=157141+1391,341765,NA-179,110197,Makhdoomzada S B A Sultan,PMLN,PMLN,2013
Punjab,Mandi Bhauddin,Mandi Bhauddin,704527.2,289,246594,183923,430517,NA-108,85009,Muhammad Ijaz Ahmed Chaudhry,IND,IND,2013
Punjab,Pakpattan,Pakpattan-II,385486.92,242,147458,=5195+117981,270634,NA-165,71804,Syed Muhammad Athar Hussain Shah Gillani,PMLN,PMLN,2013
Punjab,Toba Tek Singh,Toba Tek Singh-II,620988.03,316,200821,152024,352845,NA-93,117534,Muhammad Junaid Anwaar Chaudhry,PMLN,PMLN,2013
Punjab,Bahawal Nagar,Bahawalnagar-I,590935.41,256,173308,130370,303678,NA-188,90537,Syed Muhammad Asghar,IND,IND,2013
Punjab,Kasur,Kasur-II,549770.13,272,173462,128044,301506,NA-139,102565,Waseem Akhtar Shaikh,PMLN,PMLN,2013
Sindh,Tando Muhammad Khan,Tando Muhammad Khan-Hyderabad-Badin (Old Hyderabad-V),636958.53,242,141775,118285,260060,NA-222,100095,Syed Naveed Qamar Shah,PPP,PPP,2013
Sindh,Hyderabad,Hyderabad-I (Old Hyderabad-II),552179.16,262,168501,133710,302211,NA-219,141035,Khalid Maqbool Siddiqui,MQM,MQM,2013
Sindh,Karachi,Karachi-XVIII,614110.77,227,238142,221043,459185,NA-256,151788,Iqbal Muhammad Ali Khan,MQM,MQM,2013
Punjab,Multan,Multan-I,588664.44,233,189315,161486,350801,NA-148,81830,Malik Abdul Ghaffar Dogar,PMLN,PMLN,2013
Punjab,Okara,Okara-V,538167.24,248,=150545-190,114252,264607,NA-147,87266,Muhammad Moeen Wattoo,PMLN,PMLN,2013
Punjab,Bhakkar,Bhakkar-II,637570.44,315,209329,165830,375159,NA-74,118196,Dr Muhammad Afzal Khan,IND,IND,2013
Punjab,Sheikhupura and Nankana Sahib,Sheikhupura-Nankana  Sahib-II (Old Sheikhupura-IV),534393.99,220,149160,101023,250183,NA-134,44397,Sardar Muhammad Irfan Dogar,PMLN,PMLN,2013
Punjab,Sialkot,Sialkot-II,645486.66,290,=234775-1423,166629,399981,NA-111,137474,Chaudhry Armaghan Subhani,PMLN,PMLN,2013
Punjab,Layyah,Layyah-I,619993.53,268,195974,152202,348176,NA-181,119403,Sahibzada Faiz Ul Hassan,PMLN,PMLN,2013
Punjab,Rajanpur,Rajanpur-I,559951.47,251,201421,167681,369102,NA-174,101705,Sardar Muhammad Jaffar Khan Leghari,PMLN,PMLN,2013
Punjab,Rahimyar Khan,Rahimyar Khan-V,596340.81,258,189971,=144333+7723,342027,NA-196,106595,Mian Imtiaz Ahmed,PMLN,PMLN,2013
Punjab,Okara,Okara-I,516614.67,239,153204,119538,272742,NA-143,90652,Ch Nadeem Abbas Rabera,PMLN,PMLN,2013
Punjab,Okara,Okara-III,502347.69,230,158198,=9632+125564,293394,NA-145,89025,Syed Muhammad Ashiq Hussain Shah,PMLN,PMLN,2013
Punjab,Sialkot,Sialkot-III,642987.54,282,214186,148818,363004,NA-112,129571,Rana Shamim Ahmed Khan,PMLN,PMLN,2013
Punjab,Lodhran,Lodhran-I,681691.14,304,205427,=2+164721,370150,NA-154,86177,Muhammad Siddique Khan,IND,IND,2013
Punjab,Faisalabad,Faisalabad-III,425249.37,292,166570,128097,294667,NA-77,98057,Muhammad Asim Nazeer,PMLN,PMLN,2013
Punjab,Faisalabad,Faisalabad-VII,565427.07,258,195595,148436,344031,NA-81,122059,Nisar Ahmad,PMLN,PMLN,2013
Punjab,Gujranwala,Gujranwala-VI,569684.7,231,169070,119201,288271,NA-100,89826,Azhar Qayyum Nahra,PMLN,PMLN,2013
Punjab,Sahiwal,Sahiwal-I,541105.11,293,171693,135182,306875,NA-160,99553,Syed Imran Ahmad Shah,PMLN,PMLN,2013
Punjab,Sahiwal,Sahiwal-II,546507,291,171523,133419,304942,NA-161,94012,Chaudhry Muhammad Ashraf,PMLN,PMLN,2013
Punjab,Jhang,Jhang-II,542828.52,331,207257,160360,367617,NA-87,94234,Ghulam Muhammad Lali,PMLN,PMLN,2013
Punjab,Kasur,Kasur-I,553125.69,255,165636,116919,282555,NA-138,75694,Salman Hanif,PMLN,PMLN,2013
Punjab,Nankana Sahib,Nankana Sahib-II (Old Sheikhupura-VII),563753.97,256,163232,124252,287484,NA-137,61329,Rai Mansab Ali Khan,PMLN,PMLN,2013
Punjab,Jhang,Jhang-IV,501099.3,245,160173,130382,290555,NA-89,75053,Sheikh Muhammad Akram,PMLN,PMLN,2013
Punjab,Okara,Okara-IV,535370.94,235,158291,=119882+235,278408,NA-146,109998,Rao Muhammad Ajmal Khan,PMLN,PMLN,2013
Punjab,Lahore,Lahore-VIII,661928.67,265,238478,=3597+187410,429485,NA-125,123416,Khawaja Saad Rafique,PMLN,PMLN,2013
Punjab,Okara,Okara-II,520100.1,210,161752,131642,293394,NA-144,105162,Muhammad Arif Chaudhry,PMLN,PMLN,2013
Punjab,Bahawalpur,Bahawalpur-III,616999.5,219,183176,150862,334038,NA-185,88379,Muhammad Baligh Ur Rehman,PMLN,PMLN,2013
Punjab,Sargodha,Sargodha-III,639300.87,305,209753,174378,384131,NA-66,133085,Chaudhry Hamid Hameed,PMLN,PMLN,2013
Punjab,Gujranwala,Gujranwala-II,537966,206,171897,=130444+1227,303568,NA-96,105182,Engr Khurram Dastgir Khan,PMLN,PMLN,2013
Punjab,Gujranwala,Gujranwala-IV,575966.43,235,208249,154956,363205,NA-98,118832,Mian Tariq Mehmood,PMLN,PMLN,2013
Punjab,Bahawalpur,Bahawalpur-I,561031.38,231,=162643-203,133791,296231,NA-183,61891,Makhdoom Syed Ali Hassan Gillani,PMLN,PMLN,2013
Punjab,Muzaffargarh,Muzaffargarh-V,587855.97,253,163331,132836,296167,NA-180,72044,Ashiq Hussain Khan,IND,IND,2013
Punjab,Rahimyar Khan,Rahimyar Khan-IV,604739.07,243,175261,=124607+7943,307811,NA-195,97778,Makhdoom Syed Mustafa Mehmood,PPP,PPP,2013
Punjab,Faisalabad,Faisalabad-I,686641.41,280,188418,=135333-1983,321768,NA-75,130300,Ghulam Rasool Sahi,PMLN,PMLN,2013
Punjab,Jhelum,Jhelum-II,557819.73,314,209548,=177009+400,386957,NA-63,116013,Malik Iqbal Mehdi Khan,PMLN,PMLN,2013
Punjab,Lahore,Lahore-X,551865.6,226,186925,=389+142840,330154,NA-127,102080,Waheed Alam Khan,PMLN,PMLN,2013
Punjab,Faisalabad,Faisalabad-II,569708.1,301,185108,=145231-1069,329266,NA-76,101797,Muhammad Tallal Chaudhry,PMLN,PMLN,2013
Punjab,Bahawal Nagar,Bahawalnagar-III,620993.88,251,184613,139472,324085,NA-190,83353,Tahir Bashir Cheema,PMLN,PMLN,2013
Punjab,Hafizabad,Hafizabad-II,481870.35,231,149505,109751,259281,NA-103,78113,Mian Shahid Hussain Khan Bhatti,PMLN,PMLN,2013
Punjab,Rawalpindi,Rawalpindi-III,568683.18,351,246124,209062,455186,NA-52,133143,Ch Nisar Ali Khan,PMLN,PMLN,2013
Punjab,Nankana Sahib and Shiekhupura,Nankana Sahib-Sheikhupura (Old Sheikhupura-VI),569017.8,251,165620,119883,285503,NA-136,73775,Chudhary Bilal Ahmed Virk,PMLN,PMLN,2013
Punjab,Lahore,Lahore-XIII,512039.97,238,170455,=3716+116759,290930,NA-130,88842,Sohail Shaukat Butt,PMLN,PMLN,2013
Punjab,Sheikhupura,Sheikhupura-II (Old Sheikhupura-III),530947.17,248,167962,123321,291283,NA-133,68909,Mian Javed Latif,PMLN,PMLN,2013
Punjab,Vehari,Vehari-I,614101.41,292,191292,140306,331598,NA-167,99907,Chaudhry Nazeer Ahmad,PMLN,PMLN,2013
Punjab,Jhang,Jhang-VI,575198.91,266,162792,116250,279042,NA-91,91301,Najaf Abbas Sial,IND,IND,2013
Punjab,Khushab,Khushab-II,531328.59,272,187893,156027,343920,NA-70,94594,Malik Shakir Bashir Awan,PMLN,PMLN,2013
Punjab,Faisalabad,Faisalabad-VI,563872.14,264,193753,=R240-P240,343277,NA-80,96039,Mian Muhammad Farooq,PMLN,PMLN,2013
Punjab,Lahore,Lahore-IV,595243.35,275,214481,=166611+7349,388441,NA-121,114474,Mehar Ishtiaq Ahmad,PMLN,PMLN,2013
Punjab,Sheikhupura and Nankana Sahib,Sheikhupura-Nankana Sahib-I (Old Sheikhupura-II),522087.93,249,169890,121342,291232,NA-132,93140,Rana Tanveer Hussain,PMLN,PMLN,2013
Punjab,Khushab,Khushab-I,528353.28,298,182523,154028,336551,NA-69,119193,Sumaira Malik,PMLN,PMLN,2013
Punjab,Gujranwala,Gujranwala-III,574321.41,203,187991,140641,328632,NA-97,104638,Chaudhry Mahmood Bashir Virk,PMLN,PMLN,2013
Punjab,Toba Tek Singh,Toba Tek Singh-I,622245.78,334,200930,153546,354476,NA-92,91903,Chaudhry Khalid Javed Warraich,PMLN,PMLN,2013
Sindh,Kashmore,Kashmore (Old Jacobabad-III),565917.3,190,141523,110472,251995,NA-210,55808,Ihsan ur Rahman Mazari,PPP,PPP,2013
Sindh,Karachi,Karachi-XX,581257.17,287,232513,161280,393793,NA-258,52751,Abdul Hakeem Baloch,PMLN,PMLN,2013
Sindh,Umerkot,Umerkot (Old Mirpurkhas-III),608784.93,286,155631,139434,295065,NA-228,99700,Nawab Muhammad Yousif Talpur,PPP,PPP,2013
Sindh,Shikarpur,Shikarpur (Old Shikarpur-I),543083.58,216,137933,122422,260355,NA-202,54633,Muhammad Ibrahim Jatoi,NPP,NPP,2013
Sindh,Karachi,Karachi-XIV,539036.55,175,172608,148583,321191,NA-252,91339,Adbul Rashid Godil,MQM,MQM,2013
Sindh,Jamshoro,Jamshoro (Old Dadu-I),681049.98,317,202365,167060,369425,NA-231,129500,Malik Asad Sikandar,PPP,PPP,2013
Sindh,Karachi,Karachi-XIII,557977.68,175,194615,147540,342155,NA-251,81603,Syed Ali Raza Abidi,MQM,MQM,2013
Sindh,Tharparkar,Tharparkar-I,538621.2,279,145539,122678,268217,NA-229,88218,Faqir Sher Muhammad Bilalani,PPP,PPP,2013
Sindh,Tando Allahyar,Tando Allahyar-Matiari (Old Hyderabad-VI),577425.42,287,159607,141348,300955,NA-223,91956,Abdul Sattar Bachani,PPP,PPP,2013
Sindh,Naushahro Feroze,Naushahro Feroze-I,621041.85,247,157112,130774,287886,NA-211,83960,Rais Ghulam Murtaza Jatoi,NPP,NPP,2013
NWFP,Dera Ismail Khan,D.I.Khan,642173.22,321,215810,175185,390996,NA-24,92395,Maulana Fazal Ur Rehman,JUI-F,JUI-F,2013
FATA,Fronteir Regions,Tribal Area-XII,275047.11,148,78444,=43301-510,121265,NA-47,11328,Qaisar Jamal,PTI,PTI,2013
Sindh,Karachi,Karachi-XI,574505.1,146,172128,132400,304528,NA-249,109952,Dr. Muhammad Farooq Sattar,MQM,MQM,2013
Sindh,Karachi,Karachi-VII,573593.67,227,208073,174859,382932,NA-245,115776,Muhammad Rehan Hashmi,MQM,MQM,2013
Sindh,"Shikarpur, Sukkur and Larkana",Shikarpur-Sukkur-Larkana (Old Shikarpur-II),487028.88,192,119391,109272,228663,NA-203,77065,Ghous Bux Khan Mahar,PML-F,PML-F,2013
Sindh,Mirpurkhas,Mirpurkhas-Umerkot(II) (Old Mirpurkhas-II),584313.21,252,159387,140349,299736,NA-227,113218,Mir Munawar Ali Talpur Parliamentarians,PPP,PPP,2013
Sindh,Tharparkar,Tharparkar-II.,531099.27,213,109169,94343,203512,NA-230,61903,Pir Noor Muhammad Shah Jeelani,PPP,PPP,2013
Sindh,Karachi,Karachi-XVI,632470.41,194,228142,150570,0,NA-254,53045,Muhammad Ali Rashid,MQM,,2013
Sindh,Khairpur,Khairpur-I,604448.91,257,154602,130526,285128,NA-215,91809,Nawab Ali Wassan,PPP,PPP,2013
Sindh,Karachi,Karachi-IX,546804.18,193,170810,132964,303774,NA-247,126263,Sufyan Yousuf,MQM,MQM,2013
Sindh,Karachi,Karachi-XVII,603153.72,182,200385,146892,347277,NA-255,136982,Syed Asif Hasnain,MQM,MQM,2013
Sindh,Kambar Shahdadkot,Kamber Shahdadkot (Old Larkana III),552011.85,224,140847,117268,258115,NA-206,87789,Mir Aamir Ali Khan Magsi,PPP,PPP,2013
Sindh,Karachi,Karachi-X,578122.74,149,170347,125189,295536,NA-248,84530,ShahJahan Baloch,PPP,PPP,2013
Sindh,Sanghar,Sanghar-Mirpurkhas-Umerkot (Old Sanghar-II),496425.15,213,122562,=103886+278,226726,NA-235,74062,Pir Sadaruddin Shah,PML-F,PML-F,2013
NWFP,Karak,Karak,504031.32,234,177484,137485,314969,NA-15,51481,Nasir Khan Khattak,PTI,PTI,2013
Sindh,Karachi,Karachi-XV,583846.38,248,293072,226782,519854,NA-253,101386,Muhammad Muzammil Qureshi,MQM,MQM,2013
FATA,South Wazirista,Tribal Area-VII,241418.97,62,68684,39372,108056,NA-42,3468,Muhammad Jamal Ud Din,JUI-F,JUI-F,2013
NWFP,Chitral,Chitral,372866.13,257,120513,=86397+1900,208810,NA-32,30115,Iftikhar Ud Din,APML,APML,2013
Sindh,Matiari,Matiari-Hyderabad (Old Hyderabad-I),578265.48,263,150918,137735,288653,NA-218,95724,Makhdoom Muhammad Ameen Fahim,PPP,PPP,2013
Sindh,Sanghar,Sanghar-II (Old Sanghar-III),668533.32,312,175299,156349,331648,NA-236,100906,Roshan Din Junejo,PPP,PPP,2013
Sindh,Karachi,Karachi-XIX,589579.38,230,193876,177137,371013,NA-257,125405,Sajid Ahmed,MQM,MQM,2013
NWFP,Swat,Swat-II,692043.3,296,256101,204647,460748,NA-30,49976,Salim Rehman,PTI,PTI,2013
Sindh,Jacobabad and Kashmore,Jacobabad-Kashmore (Old Jacobabad-II),580503.69,232,129348,109165,238513,NA-209,54881,Mir Shabbir Ali Bijarani,PPP,PPP,2013
NWFP,Bannu,Bannu,790530.39,281,263338,180721,444059,NA-26,78294,Akram Khan Durrani,JUI-F,JUI-F,2013
Sindh,Karachi,Karachi-VIII,578382.48,213,196187,161594,357781,NA-246,137874,Sardar Nabeel Ahmed Gabol,MQM,MQM,2013
Sindh,Karachi,Karachi-XII,576687.15,180,201806,163725,365531,NA-250,77659,Arif ur Rehman Alvi,PTI,PTI,2013
Sindh,Ghotki,Ghotki-II,557219.52,259,154892,121491,276383,NA-201,124472,Ali Muhammad Khan Mahar,PPP,PPP,2013
Sindh,Ghotki,Ghotki-I,578322.81,265,165331,126351,291682,NA-200,86579,Ali Gohar Khan Mahar,PPP,PPP,2013
Sindh,Jacobabad,Jacobabad (Old Jacobabad-I),521498.25,300,136752,120912,257664,NA-208,51025,Aijaz Hussain Jakhrani,PPP,PPP,2013
Sindh,Khairpur,Khairpur-II,602417.79,233,154436,121613,276049,NA-216,86982,Pir Sadruddin Shah,PML-F,PML-F,2013
Sindh,Karachi,Karachi-VI,539884.8,206,177159,141538,318697,NA-244,133885,Sheikh Salahuddin,MQM,MQM,2013
Sindh,Badin and Tando Muhammad Khan,Badin-Tando Muhammad Khan-I (Old Badin-I),591542.64,320,=194469-986,171825,365308,NA-224,128723,Sardar Kamal Khan Chang,PPP,PPP,2013
Sindh,Dadu,Dadu-I (Old Dadu-II),626365.35,315,162104,137540,299644,NA-232,76876,Rafique Ahmed Jamali,PPP,PPP,2013
FATA,South Wazirista,Tribal Area-VI,261495,70,65701,=27018,92719,NA-41,8022,Ghalib Khan,PMLN,PMLN,2013
Sindh,Karachi,Karachi-II,556097.49,194,172307,114863,287170,NA-240,87805,Sohail Mansoor Khawaja,MQM,MQM,2013
FATA,Khyber Agency,Tribal Area-XI,334835.28,57,108379,53351,161727,NA-46,4135,Nasir Khan,IND,IND,2013
Sindh,Thatta,Thatta-I,683024.94,345,195453,167315,0,NA-237,84819,Shamasunnisa,PPP,,2013
Sindh,Nawabshah,Nawabshah-II,604488.69,316,154430,=139060+378,293868,NA-214,135502,Syed Ghulam Mustafa Shah,PPP,PPP,2013
Sindh,Karachi,Karachi-V,583753.95,290,253750,170448,424198,NA-243,192638,Abdul Waseem,MQM,MQM,2013
Sindh,Sanghar,Sanghar-I,535084.29,257,150812,131144,281956,NA-234,90787,Pir Bux Junejo,PML-F,PML-F,2013
Sindh,Khairpur,Khairpur-III,602640.09,245,154043,123282,277325,NA-217,75862,Syed Qazim Ali Shah,PML-F,PML-F,2013
Sindh,Sukkur and Shikarpur,Sukkur Shikarpur(I) (Old Sukkur-I),491293.53,226,138640,115442,254082,NA-198,52684,Nauman Islam Shaikh,PPP,PPP,2013
Sindh,Hyderabad,Hyderabad-II (Old Hyderabad-III),580518.9,267,156184,118097,274281,NA-220,135886,Syed Waseem Hussain,MQM,MQM,2013
Sindh,Karachi,Karachi-IV,594760.14,232,185240,122444,307684,NA-242,166836,Mehboob Alam,MQM,MQM,2013
Sindh,Karachi,Karachi-I,548839.98,249,228647,145115,373762,NA-239,39251,Mohammad Salman Khan Baloch,MQM,MQM,2013
